English,Portuguese
Force Caller ID,Forçar identificador de chamadas
Customer Profile,Perfil do Cliente
Caller Id Name,Nome de Identificação de Chamada
Caller Id Number,Número de Identificação de Chamada
Blocked Codes,Códigos Bloqueados
Page will display only receipts and confirmed invoices.,A página exibirá apenas recibos e faturas confirmadas.
Accessnumber Updated Successfully!,Número de acesso atualizado com sucesso!
Accessnumber Removed Successfully!,Número de acesso removido com sucesso!
Invalid file format : Only CSV file allows to import records(Can't import empty file),Formato de arquivo inválido: somente arquivo CSV permite importar registros (não é possível importar arquivo vazio)
Please Select File.,Selecione o arquivo.
are required,é requerido
is Required,É necessário
is not Valid,não é válido
Duplicate accessnumber found from database,Número de acesso duplicado encontrado no banco de dados
Duplicate accessnumber found from import file.,Número de acesso duplicado encontrado no arquivo de importação.
Total,Total
AccessNumber Imported Successfully!,AccessNumber importado com sucesso!
Records Not Imported:,Registros não importados:
Back to AccessNumber List,Voltar para a lista de números de acesso
Speed Dial Number Updated Successfully,Número de discagem rápida atualizado com sucesso
Please insert only numeric value!,"Por favor, insira apenas o valor numérico!"
Speed Dial Number Removed Successfully,Número de discagem rápida removido com sucesso
Speed Dial Number is Empty,O número de discagem rápida está vazio
Sip Device removed successfully!,Dispositivo Sip removido com sucesso!
Sip updated successfully!,Sip atualizado com sucesso!
Block Code Removed Sucessfully!,Código de bloqueio removido com sucesso!
Your Account Limit has been reached.Please Change Your Prefix.,O limite da sua conta foi atingido. Altere o prefixo.
Please Enter Proper Account Length.,Digite o tamanho adequado da conta.
Bulk customer generate successfully!,Cliente em massa gerado com sucesso!
Recharge successfully!,Recarregue com sucesso!
Post charge applied successfully.,Pós-cobrança aplicada com sucesso.
Account callerID updated successfully!,ID do chamador da conta atualizado com sucesso!
Account callerID added successfully!,ID de chamada da conta adicionado com sucesso!
Reseller updated successfully!,Revendedor atualizado com sucesso!
Reseller added successfully!,Revendedor adicionado com sucesso!
Updated successfully!,Atualizado com sucesso!
Added Successfully!,Adicionado com sucesso!
Customer batch updated successfully!,Lote do cliente atualizado com sucesso!
Reseller batch updated successfully!,Lote de revendedor atualizado com sucesso!
Customer Removed Successfully!,Cliente removido com sucesso!
Reseller Removed Successfully!,Revendedor removido com sucesso!
Provider Removed Successfully!,Provedor removido com sucesso!
Admin Removed Successfully!,Administrador removido com sucesso!
Sub Admin Removed Successfully!,Subadministrador removido com sucesso!
DID Added Successfully.,DID adicionado com sucesso.
DID Already Removed Before.,DID já foi removido antes.
Account Tax Added Successfully!,Imposto da conta adicionado com sucesso!
Account Tax Removed Successfully!,Imposto da conta removido com sucesso!
Product Removed Sucessfully.,Produto removido com sucesso.
Email Resend Successfully!,Email reenviado com sucesso!
Email List Updated Successfully!,Lista de e-mails atualizada com sucesso!
Email List Added Successfully!,Lista de e-mail adicionada com sucesso!
Email Removed Successfully!,Email removido com sucesso!
Please Try Again!,"Por favor, tente novamente!"
Email BroadCast Successfully!,Transmissão por e-mail com sucesso!
No Record Found!,Nenhum Registro Encontrado!
Email Address Not Found!,Endereço de email não encontrado!
Edit Freeswitch SIP Devices,Editar dispositivos Freeswitch SIP
Create Freeswitch SIP Devices,Criar dispositivos Freeswitch SIP
Gateway Updated Successfully!,Gateway atualizado com sucesso!
Gateways already exist in system.,Gateways já existem no sistema.
Gateway name must not have any space.,O nome do gateway não deve ter nenhum espaço.
Gateway Added Successfully!,Gateway adicionado com sucesso!
Gateway Removed Successfully!,Gateway removido com sucesso!
Please enter All profile value!,"Por favor, insira todos os valores do perfil!"
SIP Profile name must not have any space!,O nome do Perfil SIP não deve ter nenhum espaço!
Duplicate SIP IP OR Port found it must be unique!,A porta IP OU SIP duplicada encontrada deve ser exclusiva!
SIP Profile Added Successfully!,Perfil SIP adicionado com sucesso!
Name must be unique!,O nome deve ser único!
SIP Profile Updated Successfully!,Perfil SIP atualizado com sucesso!
SIP Setting Added Successfully!,Configuração SIP adicionada com sucesso!
SIP Setting Updated Successfully!,Configuração SIP atualizada com sucesso!
SIP Setting Removed Successfully!,Configuração SIP removida com sucesso!
SIP Profile Removed Successfully!,Perfil SIP removido com sucesso!
Host Already Exist in System.,O host já existe no sistema.
Freeswitch Server Updated Successfully!,Servidor Freeswitch atualizado com sucesso!
Freeswitch Server Added Successfully!,Servidor Freeswitch adicionado com sucesso!
Freeswitch Server Removed Successfully!,Servidor Freeswitch removido com sucesso!
Invoice updated successfully!,Fatura atualizada com sucesso!
Invoice payment done successfully!,O pagamento da fatura foi feito com sucesso!
Account Not Found.,Conta não encontrada.
Invoice payment amount should be higher then the invoice amount.,O valor do pagamento da fatura deve ser maior do que o valor da fatura.
The Favicon file size shoud not exceed 1MB!,O tamanho do arquivo Favicon não deve exceder 1 MB!
Please upload 250 * 60 size file,Envie um arquivo de tamanho 250 * 60
Logo only allows file types of JPG and JPEG.,O logotipo permite apenas os tipos de arquivo JPG e JPEG.
"Favicon only allows file types of ICO, PNG, JPG and JPEG.","O Favicon permite apenas os tipos de arquivo ICO, PNG, JPG e JPEG."
Please upload 16 * 16 size of favicon.,Carregue o tamanho 16 * 16 do favicon.
Company profile updated sucessfully!,Perfil da empresa atualizado com sucesso!
Company profile added sucessfully!,Perfil da empresa adicionado com sucesso!
Permission Denied.,Permissão negada.
is Deleted Sucessfully!,foi excluído com sucesso!
To date should not be greater than current date.,Até a data não deve ser posterior à data atual.
Invoice generation completed.,Geração de fatura concluída.
No data found,Nenhum dado encontrado
Invoices removed successfully,Faturas removidas com sucesso
The Prefix field must contain a unique value.,O campo Prefixo deve conter um valor exclusivo.
The IP field must contain a unique value.,O campo IP deve conter um valor único.
IP Map added successfully!,Mapa de IP adicionado com sucesso!
IP Map removed successfully!,Mapa de IP removido com sucesso!
Localization Added Successfully!,Localização adicionada com sucesso!
Localization Updated Successfully!,Localização atualizada com sucesso!
Localization Removed Successfully!,Localização removida com sucesso!
Globalization is already exist in this system,A globalização já existe neste sistema
Dispatcher Updated Successfully!,Expedidor atualizado com sucesso!
Dispatcher Added Successfully!,Expedidor adicionado com sucesso!
Dispatcher Removed Successfully!,Expedidor removido com sucesso!
Code is already in system,O código já está no sistema
Country is already in system,País já está no sistema
Ratedeck updated successfully!,Ratedeck atualizado com sucesso!
Ratedeck added successfully!,Ratedeck adicionado com sucesso!
Ratedeck removed successfully!,Avaliação removida com sucesso!
Duplicate Ratedeck Number found from import file.,Número do cheque nominal duplicado encontrado no arquivo de importação.
Ratedeck Imported Successfully!,Verificação de classificação importada com sucesso!
Ratedeck Import Error,Erro de importação de verificação
Back to Ratedeck List,Voltar para a lista de verificação
Origination Rate Imported Successfully!,Taxa de origem importada com sucesso!
Origination Rate Updated Successfully!,Taxa de originação atualizada com sucesso!
Origination Rate Added Successfully!,Taxa de origem adicionada com sucesso!
Termination Rates Batch Updated Successfully!,Lote de taxas de rescisão atualizado com sucesso!
Map CSV to Termination Rates,Mapear CSV para taxas de rescisão
Data Example,Exemplo de dados
Map to Field,Mapear para o campo
PREFIX/DEFAULT VALUE,PREFIXO / VALOR PADRÃO
ASTPP Field,Campo ASTPP
Created,Criada
Modified,Modificado
You can not create,Você não pode criar
Refill coupon with,Recarregue o cupom com
You can create maximum,Você pode criar no máximo
Refill coupon created successfully!,Cupom de recarga criado com sucesso!
Currency Added Successfully!,Moeda adicionada com sucesso!
Currency Removed Successfully!,Moeda removida com sucesso!
Backup Exported Successfully!,Backup exportado com sucesso!
An error occur when the system tried to backup of the database. Please check yours system settings for the backup section,Ocorreu um erro quando o sistema tentou fazer backup do banco de dados. Verifique as configurações do sistema para a seção de backup
Database Restore successfully.,Restauração do banco de dados com sucesso.
File not exists!,Arquivo não existe!
There is a some issue or invalid file format.,Há algum problema ou formato de arquivo inválido.
Database backup deleted successfully.,Backup de banco de dados excluído com sucesso.
Languages updated successfully!,Idiomas atualizados com sucesso!
Languages removed successfully!,Idiomas removidos com sucesso!
Languages added successfully!,Idiomas adicionados com sucesso!
Translation updated successfully!,Tradução atualizada com sucesso!
Translation added successfully!,Tradução adicionada com sucesso!
Update Languages,Idiomas de atualização
Speed Dial,Discagem rápida
Payment,Pagamento
Method,Método
"Once you confirm the invoice, you will no longer able to update it again.","Depois de confirmar a fatura, você não poderá mais atualizá-la novamente."
Payment Gateway Permission,Permissão de gateway de pagamento
Zip Code,Código postal
Yes,sim
Back,Voltar
Edit Reseller,Editar revendedor
Asignar DID a granel,Asignar FEZ um granel
DIDs Search,Pesquisa DIDs
By Month,Por mês
Create Gateway,Criar Gateway
Calling Card Language,Idioma do Calling Card
Last,Durar
Pay Date,Dia de pagamento
Purchase DID,Compra FEZ
Caller-ID-A-Form,Formulário de identificação de chamadas
Expire Seconds,Expire Seconds
Termination Date,Data de finalização
Registration Date,data de registro
Payment By,Pagamento por
Product Status,Status do produto
Minute,Minuto
Hour,Hora
Day,Dia
Month,Mês
Year,Ano
List,Lista
Edit,Editar
Not Avaialable any Subscription.,Não disponível em nenhuma assinatura.
Not Avaialable any Package for this Country.,Nenhum pacote disponível para este país.
You can only transfer fund in same level account.,Você só pode transferir fundos na conta do mesmo nível.
You can not transfer fund in same account.,Você não pode transferir fundos na mesma conta.
Monthly Fee,Taxa mensal
Bulk DID Assign,Atribuição DID em massa
Invoice Start From,Fatura a partir de
Edit Gateway,Editar Gateway
Number Of Default Rows,Número de linhas padrão
Mobile Dialer,Discador móvel
Trunk Count,Contagem de troncos
Welcome File,Arquivo de Boas Vindas
Local Call Timeout (Sec.),Tempo limite de chamada local (seg.)
Rate check for DID,Verificar taxa para DID
DID Localization,Localização DID
Voicemail Number,Número de correio de voz
OTP Expire Time(min),Tempo de expiração de OTP (min)
Edit Provider,Editar Provedor
Product Summary Reports,Relatórios de resumo do produto
Edit Origination Rate,Editar taxa de origem
Dialplan Variable,Variável Dialplan
Uninstall,Desinstalar
Call Stat,Estatísticas de chamada
Failed Calls,Chamadas falhadas
Top 10 Countries,10 principais países
By Minutes,Por minutos
By Calls,Por chamadas
Telephone number is only numeric,O número do telefone é apenas numérico
Please enter valid Captcha code,"Por favor, insira um código Captcha válido"
Please contact to administrator,Entre em contato com o administrador
Requested email is already exist,O email solicitado já existe
Requested number is already exist,O número solicitado já existe
Please enter correct words!,"Por favor, digite as palavras corretas!"
THIS IS REQUIRED!,ISTO É NECESSÁRIO!
Your account has been deleted. Please contact administrator for more information.,Sua conta foi deletada. Entre em contato com o administrador para obter mais informações.
Your account is inactive. Please contact administrator for more information.,Sua conta está inativa. Entre em contato com o administrador para obter mais informações.
Please enter proper Email.,"Por favor, insira o e-mail adequado."
Please enter proper Username.,"Por favor, insira o nome de usuário adequado."
This Username or Email is not valid.,Este nome de usuário ou e-mail não é válido.
ASTPP - A Smart TelePhony Platform,ASTPP - A Smart TelePhony Platform
Forgot Password,Esqueceu a senha
ASTPP work best with JavaScript enabled,ASTPP funciona melhor com JavaScript habilitado
Enter Your Password,Coloque sua senha
Confirm Password,Confirme a Senha
The Email field is Required,O campo Email é obrigatório
The Account Number field is Required,O campo do número da conta é obrigatório
Set Default Language,Definir idioma padrão
Please Re-login to get Impact of selected language.,Faça login novamente para obter o impacto do idioma selecionado.
Default Language,Idioma padrão
Signup now!,Inscreva-se agora!
Forgot Password?,Esqueceu a senha?
Sign in,Entrar
Username OR Email,Nome de usuário ou email
Username is Required,Nome de usuário é requerido
Password is Required,Senha requerida
"Please Check Your account is deleted or inactive from admin side, please contact to your administrator","Verifique se sua conta foi excluída ou inativa do lado do administrador, entre em contato com o seu administrador"
Please do not use default or less secure password for your account!! You must change password from,"Por favor, não use uma senha padrão ou menos segura para sua conta !! Você deve alterar a senha de"
HERE,AQUI
"Login unsuccessful. Please make sure you entered the correct username and password, and that your account is active",Login sem sucesso. Certifique-se de inserir o nome de usuário e a senha corretos e de que sua conta está ativa
Please enter Username/email and Password.,Digite o nome de usuário / e-mail e a senha.
Payment transaction invalid. Please contact Administrator.,Transação de pagamento inválida. Entre em contato com o administrador.
Log In,Conecte-se
Please Enter Password,"Por favor, digite a senha"
"Password must be at least 8 characters and must contain at least one lower case letter, one upper case letter and one digit","A senha deve ter pelo menos 8 caracteres e deve conter pelo menos uma letra minúscula, uma letra maiúscula e um dígito"
Please Enter Confirm Password,Digite a senha de confirmação
Confirm Password is not match,Confirmar que a senha não corresponde
We sent update password link.,Enviamos o link de atualização da senha.
Please check your Email!,Por favor verifique seu email!
Login,Conecte-se
OTP Verification,Verificação OTP
OTP Number is Required,Número OTP é obrigatório
Your account created successfully and account details sent to your registered email address,Sua conta foi criada com sucesso e os detalhes da conta foram enviados para o seu endereço de e-mail registrado
Your password change successfully and new password sent to your registered email address,Sua senha foi alterada com sucesso e uma nova senha foi enviada para seu endereço de e-mail cadastrado
OTP Number is Wrong Please try again Or OTP expire Please Resend,"O número OTP está errado, tente novamente ou o OTP expira, reenvie"
OTP has been sent on your email or Telephone number,OTP foi enviado em seu e-mail ou número de telefone
OTP,OTP
Resend OTP,Reenviar OTP
OTP Sent time Out,Tempo limite de envio de OTP
Not Get OTP ?,Não obtém OTP?
Note:,Observação:
Please make sure do not refresh the page or don't go back,Certifique-se de não atualizar a página ou não voltar
"Login unsuccessful. Please make sure you entered the correct username and password, and that your account is active.",Login sem sucesso. Certifique-se de inserir o nome de usuário e a senha corretos e de que sua conta está ativa.
Your account has been created successfully!,Sua conta foi criada com sucesso!
Here is your login information,Aqui estão suas informações de login
Link is Expire Please Try Again,"O link expirou, tente novamente"
"Sorry, we cannot process for singup at this time.","Desculpe, não podemos processar para inscrição no momento."
Please contact administrator for more information,Entre em contato com o administrador para obter mais informações
Successful!,Bem sucedido!
Captcha is required,Captcha é necessário
First Name is Required,O primeiro nome é necessário
Telephone is Required,O telefone é obrigatório
Email is Required,E-mail é obrigatório
Please enter a valid email address,Por favor insira um endereço de e-mail válido
"Please make sure you entered the correct username and password, and that your account is active.",Certifique-se de inserir o nome de usuário e a senha corretos e de que sua conta está ativa.
Company Name,nome da empresa
Enter above Captcha,Insira o Captcha acima
Sign up,Inscrever-se
Already Registered !,Já registrado !
January,Janeiro
February,fevereiro
March,Março
April,abril
May,Maio
June,Junho
July,julho
August,agosto
September,setembro
October,Outubro
November,novembro
December,dezembro
Doesn't Contain,Não contém
Greater Than,Maior que
Less Than,Menor que
Greater Or Equal Than,Maior ou igual a
Less Or Equal Than,Menor ou igual a
Set To,Definido como
Increase By,Aumentar em
Decrease By,Diminuir em
Community,Comunidade
You must either select a field from your file OR provide a default value for the following fields:,Você deve selecionar um campo de seu arquivo OU fornecer um valor padrão para os seguintes campos:
Note : Records with duplicate account number and email will be ignored.,Nota: Registros com número de conta e e-mail duplicados serão ignorados.
Map CSV to Customers,Mapeie CSV para clientes
Account Information,Informação da conta
Select Account,Selecione a conta
DEFAULT VALUE,VALOR PADRÃO
SIP Username,Nome de usuário SIP
sip_username,sip_username
SIP Password,Senha SIP
Same as Password,Igual à senha
Same as Account Number,O mesmo que o número da conta
Random,Aleatório
Import File Data.,Dados do arquivo de importação.
Process Records,Registros de Processo
Note : Duplicate accounts with account number / email are ignored.,Nota: Contas duplicadas com número de conta / e-mail são ignoradas.
Remove,Remover
Number of Account,Número da conta
Account Number Length,Comprimento do número da conta
"DID (CLI Match, If not matched then use random allocated DID)","DID (correspondência CLI, se não houver correspondência, use DID alocado aleatoriamente)"
"Caller Id (CLI Match, If not matched then use random allocated Caller Id)","ID do chamador (correspondência CLI, se não houver correspondência, use o ID do chamador alocado aleatoriamente)"
Use NON-CLI Rate Group (If CLI not match with DID),Usar grupo de taxa NÃO CLI (se CLI não corresponder a DID)
Use NON-CLI Rate Group (If CLI not match with Caller ID),Usar grupo de taxa NÃO CLI (se CLI não corresponder ao ID do chamador)
Use NON-CLI Rate Group (If CLI not match with DID & Caller id),Usar grupo de taxa NÃO CLI (se CLI não corresponder ao DID e ID do chamador)
Reject Call (If CLI not match with DID),Rejeitar chamada (se CLI não corresponder a DID)
Reject Call (If CLI not match with Caller ID),Rejeitar chamada (se CLI não corresponder ao ID do chamador)
Reject Call (If CLI not match with DID & Caller id),Rejeitar chamada (se CLI não corresponder ao DID e ID do chamador)
--Select--,--Selecionar--
Test Mail,Correio de Teste
Reset Password,Redefinir senha
AFGHANISTAN,AFEGANISTÃO
ALBANIA,ALBÂNIA
ALGERIA,ARGÉLIA
AMERICAN SAMOA,SAMOA AMERICANA
ANDORRA,ANDORRA
ANGOLA,ANGOLA
ANGUILLA,ANGUILLA
ANTIGUA & BARBUDA,ANTIGUA E BARBUDA
ARGENTINA,ARGENTINA
ARMENIA,ARMÊNIA
ARUBA,ARUBA
AUSTRALIA,AUSTRÁLIA
AUSTRIA,ÁUSTRIA
AZERBAIJAN,AZERBAIJÃO
BAHAMAS,BAHAMAS
BAHRAIN,BARÉM
BANGLADESH,BANGLADESH
BARBADOS,BARBADOS
BELARUS,BIELORRÚSSIA
BELGIUM,BÉLGICA
BELIZE,BELIZE
BENIN,BENIN
BERMUDA,BERMUDAS
BHUTAN,BUTÃO
BOLIVIA,BOLÍVIA
BOSNIA AND HERZEGOVINA,BÓSNIA E HERZEGOVINA
BOTSWANA,BOTSWANA
BRAZIL,BRASIL
BRITISH VIRGIN ISLANDS,ILHAS VIRGENS BRITÂNICAS
BRUNEI,BRUNEI
BULGARIA,BULGÁRIA
BURKINA FASO,BURKINA FASO
BURUNDI,BURUNDI
CAMBODIA,CAMBOJA
CAMEROON,CAMARÕES
CANADA,CANADÁ
CAPE VERDE,CABO VERDE
CAYMAN ISLANDS,ILHAS CAYMAN
CENTRAL AFRICAN REPUBLIC,REPÚBLICA CENTRAL AFRICANA
CHAD,CHADE
CHILE,CHILE
CHINA,CHINA
COLOMBIA,COLÔMBIA
COMOROS,COMOROS
CONGO,CONGO
COSTA RICA,COSTA RICA
CROATIA,CROÁCIA
CUBA,CUBA
CYPRUS,CHIPRE
CZECH REPUBLIC,REPÚBLICA CHECA
DEMOCRATIC REPUBLIC,REPUBLICA DEMOCRATICA
DENMARK,DINAMARCA
DJIBOUTI,DJIBOUTI
DOMINICA,DOMINICA
DOMINICAN REPUBLIC,REPÚBLICA DOMINICANA
ECUADOR,EQUADOR
EGYPT,EGITO
EL SALVADOR,EL SALVADOR
EQUATORIAL GUINEA,GUINÉ EQUATORIAL
ERITREA,ERITREA
ERITREA,ERITREA
ETHIOPIA,ETIÓPIA
FAEROE ISLANDS,ILHAS FAEROE
FIJI ISLANDS,ILHAS FIJI
FINLAND,FINLÂNDIA
FRANCE,FRANÇA
FRENCH GUIANA,GUIANA FRANCESA
FRENCH POLYNESIA,POLINÉSIA FRANCESA
GABON,GABÃO
GAMBIA,GÂMBIA
GEORGIA,GEORGIA
GERMANY,ALEMANHA
GHANA,GANA
GIBRALTAR,GIBRALTAR
GREECE,GRÉCIA
GRENADA,GRENADA
GUADELOUPE,GUADALUPE
GUAM,GUAM
GUATEMALA,GUATEMALA
GUINEA,GUINÉ
GUINEA BISSAU,GUINÉ BISSAU
GUYANA,GUIANA
HAITI,HAITI
HONDURAS,HONDURAS
HONG KONG,HONG KONG
HUNGARY,HUNGRIA
ICELAND,ISLÂNDIA
INDIA,ÍNDIA
INDONESIA,INDONÉSIA
IRAN,IRÃ
IRAQ,IRAQUE
IRELAND,IRLANDA
ISRAEL,ISRAEL
ITALY,ITÁLIA
IVORY COAST,COSTA DO MARFIM
JAMAICA,JAMAICA
JAPAN,JAPÃO
JORDAN,JORDÂNIA
KAZAKHSTAN,CAZAQUISTÃO
KENYA,QUÊNIA
KOSOVO,KOSOVO
KUWAIT,KUWAIT
KYRGYZSTAN,KYRGYZSTAN
LAOS,LAOS
LATVIA,LETÔNIA
LEBANON,LÍBANO
LESOTHO,LESOTO
LIBERIA,LIBÉRIA
LIBYA,LÍBIA
LIECHTENSTEIN,LIECHTENSTEIN
LITHUANIA,LITUÂNIA
LUXEMBOURG,LUXEMBURGO
MACAU,MACAU
MACEDONIA,MACEDÓNIA
MADAGASCAR,MADAGÁSCAR
MALAWI,MALAWI
MALAYSIA,MALÁSIA
MALI,MALI
MALTA,MALTA
MARSHALL ISLANDS,ILHAS MARSHALL
MARTINIQUE,MARTINIQUE
MAURITANIA,MAURITÂNIA
MAURITIUS,MAURÍCIA
MEXICO,MÉXICO
MICRONESIA,MICRONESIA
MOLDOVA,MOLDOVA
MONACO,MONACO
MONGOLIA,MONGÓLIA
MONTENEGRO,MONTENEGRO
MONTSERRAT,MONTSERRAT
MOROCCO,MARROCOS
MOZAMBIQUE,MOÇAMBIQUE
MYANMAR,MYANMAR
NAMIBIA,NAMÍBIA
NEPAL,NEPAL
NETHERLANDS,PAÍSES BAIXOS
NEW CALEDONIA,NOVA CALEDÔNIA
NEW ZEALAND,NOVA ZELÂNDIA
NICARAGUA,NICARÁGUA
NIGER,NÍGER
NIGERIA,NIGÉRIA
NO. MARIANA ISLANDS,NÃO. ILHAS MARIANA
NORTH KOREA,COREIA DO NORTE
NORWAY,NORUEGA
OMAN,OMÃ
PAKISTAN,PAQUISTÃO
PALAU,PALAU
PANAMA,PANAMÁ
PARAGUAY,PARAGUAI
PERU,PERU
PHILIPPINES,FILIPINAS
POLAND,POLÔNIA
PORTUGAL,PORTUGAL
PUERTO RICO,PORTO RICO
QATAR,CATAR
REUNION ISLAND,ILHA DA REUNIÃO
ROMANIA,ROMANIA
RUSSIAN FEDERATION,FEDERAÇÃO RUSSA
RWANDA,RUANDA
SAN MARINO,SÃO MARINO
SAUDI ARABIA,ARÁBIA SAUDITA
SENEGAL,SENEGAL
SERBIA,SÉRVIA
SEYCHELLES ISLANDS,ILHAS SEYCHELLES
SIERRA LEONE,SERRA LEOA
SINGAPORE,CINGAPURA
SLOVAKIA,ESLOVÁQUIA
SLOVENIA,ESLOVÊNIA
SOMALIA,SOMÁLIA
SOUTH AFRICA,ÁFRICA DO SUL
SOUTH KOREA,COREIA DO SUL
SOUTH SUDAN,SUDÃO DO SUL
SPAIN,ESPANHA
SRI LANKA,SRI LANKA
ST. KITTS,ST. KITTS
ST. LUCIA,ST. LUCIA
ST. MARTIN,ST. MARTIN
ST. PIERRE & MIQUELON,ST. PIERRE E MIQUELON
ST. VINCENT,ST. VINCENT
SUDAN,SUDÃO
SURINAME,SURINAME
SWAZILAND,SUAZILÂNDIA
SWEDEN,SUÉCIA
SWITZERLAND,SUÍÇA
SYRIA,SÍRIA
TAIWAN,TAIWAN
TAJIKISTAN,TAJIQUISTÃO
TANZANIA,TANZÂNIA
THAILAND,TAILÂNDIA
TRINIDAD & TOBAGO,TRINIDAD & TOBAGO
TUNISIA,TUNÍSIA
TURKEY,PERU
TURKMENISTAN,TURKMENISTAN
TURKS & CAICOS ISLANDS,ILHAS TURKS E CAICOS
UGANDA,UGANDA
UKRAINE,UCRÂNIA
UNITED ARAB EMIRATES,EMIRADOS ÁRABES UNIDOS
UNITED KINGDOM,REINO UNIDO
URUGUAY,URUGUAI
US VIRGIN ISLANDS,ILHAS VIRGENS DOS EUA
United States,Estados Unidos
UZBEKISTAN,UZBEKISTAN
VENEZUELA,VENEZUELA
VIETNAM,VIETNÃ
YEMEN,IÉMEN
ZAMBIA,ZÂMBIA
ZIMBABWE,ZIMBÁBUE
ASCENSION,ASCENSÃO
COOK ISLANDS,ILHAS COOK
EAST TIMOR,TIMOR LESTE
FALKLAND ISLANDS,ILHAS FALKLAND
GREENLAND,GREENLAND
KIRIBATI,KIRIBATI
MALDIVES,MALDIVAS
NAURU,NAURU
Albanian Lek,Lek albanês
Algerian Dinar,Dinar argelino
Aluminium Ounces,Onças de alumínio
Argentine Peso,Peso argentino
Aruba Florin,Aruba Florin
Australian Dollar,Dólar australiano
Bahamian Dollar,Dólar das Bahamas
Bahraini Dinar,Dinar do Bahrein
Bangladesh Taka,Bangladesh Taka
Barbados Dollar,Dólar de Barbados
Belarus Ruble,Bielorrússia Ruble
Belize Dollar,Dólar de Belize
Bermuda Dollar,Dólar das Bermudas
Bhutan Ngultrum,Butão Ngultrum
Bolivian Boliviano,Boliviano boliviano
Brazilian Real,real brasileiro
British Pound,Libra britânica
Brunei Dollar,Dólar de Brunei
Bulgarian Lev,Lev búlgaro
Burundi Franc,Franco do Burundi
Cambodia Riel,Camboja Riel
Canadian Dollar,Dólar canadense
Cayman Islands Dollar,Dólar das Ilhas Cayman
CFA Franc (BCEAO),Franco CFA (BCEAO)
CFA Franc (BEAC),Franco CFA (BEAC)
Chilean Peso,Peso Chileno
Chinese Yuan,Yuan chinês
Colombian Peso,Peso colombiano
Comoros Franc,Franco das Comores
Copper Ounces,Onças de cobre
Costa Rica Colon,Costa Rica Colon
Croatian Kuna,Kuna croata
Cuban Peso,Peso cubano
Cyprus Pound,Libra cipriota
Czech Koruna,Coroa Tcheca
Danish Krone,Coroa dinamarquesa
Dijibouti Franc,Franco de Dijibouti
Dominican Peso,Peso Dominicano
East Caribbean Dollar,Dólar do Caribe Oriental
Ecuador Sucre,Equador Sucre
Egyptian Pound,Libra egípcia
El Salvador Colon,El Salvador Colon
Eritrea Nakfa,Eritreia Nakfa
Estonian Kroon,Coroa da Estônia
Ethiopian Birr,Birr etíope
Euro,Euro
Falkland Islands Pound,Libra das Ilhas Malvinas
Gambian Dalasi,Gâmbia Dalasi
Ghanian Cedi,Ghanian Cedi
Gibraltar Pound,Libra de Gibraltar
Gold Ounces,Onças de ouro
Guatemala Quetzal,Quetzal da Guatemala
Guinea Franc,Franco da Guiné
Haiti Gourde,Haiti Gourde
Honduras Lempira,Honduras Lempira
Hong Kong Dollar,Dólar de Hong Kong
Hungarian ForINT,ForINT húngaro
Iceland Krona,Coroa da Islândia
Indian Rupee,Rupia indiana
Indonesian Rupiah,Rúpia da Indonésia
Iran Rial,Iran Rial
Israeli Shekel,Shekel israelense
Jamaican Dollar,Dólar jamaicano
Japanese Yen,Yen japonês
Jordanian Dinar,Dinar jordaniano
Kazakhstan Tenge,Cazaquistão Tenge
Kenyan Shilling,Xelim queniano
Korean Won,Won coreano
Kuwaiti Dinar,Dinar do Kuwait
Lao Kip,Lao Kip
Latvian Lat,Lat letão
Lebanese Pound,Libra libanesa
Lesotho Loti,Lesotho Loti
Libyan Dinar,Dinar da Líbia
Lithuanian Lita,Lita da Lituânia
Macau Pataca,Pataca de Macau
Macedonian Denar,Denar macedônio
Malagasy Franc,Franco malgaxe
Malawi Kwacha,Malawi Kwacha
Malaysian Ringgit,Ringgit da Malásia
Maldives Rufiyaa,Rufiyaa das Maldivas
Maltese Lira,Lira Maltesa
Mauritania Ougulya,Mauritania Ougulya
Mauritius Rupee,Rúpia das Maurícias
Mexican Peso,Peso mexicano
Moldovan Leu,Leu da Moldávia
Mongolian Tugrik,Tugrik da Mongólia
Moroccan Dirham,Dirham marroquino
Mozambique Metical,Metical moçambicano
Namibian Dollar,Dólar namibiano
Nepalese Rupee,Rúpia do Nepal
Neth Antilles Guilder,Neth Antilles Guilder
New Turkish Lira,Nova Lira Turca
New Zealand Dollar,Dólar neozelandês
Nicaragua Cordoba,Nicaragua Cordoba
Nigerian Naira,Naira nigeriana
Norwegian Krone,Coroa norueguesa
Omani Rial,Rial de Omã
Pacific Franc,Franco do Pacífico
Pakistani Rupee,Rúpia do Paquistão
Palladium Ounces,Onças de paládio
Panama Balboa,Panama Balboa
Papua New Guinea Kina,Papua Nova Guiné Kina
Paraguayan Guarani,Guarani Paraguaio
Peruvian Nuevo Sol,Nuevo Sol peruano
Philippine Peso,Peso filipino
Platinum Ounces,Onças de platina
Polish Zloty,Zloty polonês
Qatar Rial,Rial Qatar
Romanian Leu,Leu romeno
Romanian New Leu,Novo Leu romeno
Russian Rouble,Rublo russo
Rwanda Franc,Franco de Ruanda
Samoa Tala,Samoa Tala
Sao Tome Dobra,São Tomé Dobra
Saudi Arabian Riyal,Rial da Arábia Saudita
