English,French
Add Voucher,Ajouter un bon
Selected Plan,Plan sélectionné
My Product,Mon produit
Parent Product,Produit parent
Edit Email Template,Modifier le modèle d'e-mail
Details,Des détails
KEY,CLÉ
VALUE,VALEUR
Records with duplicate account number and email will be ignored.,Les enregistrements avec un numéro de compte et une adresse e-mail en double seront ignorés.
Account Details,Détails du compte
Mass Customer,Client de masse
Daily,du quotidien
Monthly,Mensuel
Prepaid,Prépayé
Postpaid,Port payé
Force Caller ID,Forcer l'identification de l'appelant
Customer Profile,Profil client
Caller Id Name,Nom de l'ID de l'appelant
Caller Id Number,Numéro d'identification de l'appelant
Blocked Codes,Codes bloqués
Page will display only receipts and confirmed invoices.,La page n'affichera que les reçus et les factures confirmées.
Accessnumber Updated Successfully!,Numéro d'accès mis à jour avec succès!
Accessnumber Removed Successfully!,Numéro d'accès supprimé avec succès!
Invalid file format : Only CSV file allows to import records(Can't import empty file),Format de fichier non valide: seul le fichier CSV permet d'importer des enregistrements (impossible d'importer un fichier vide)
Please Select File.,Veuillez sélectionner un fichier.
are required,sont requis
is Required,est requis
is not Valid,n'est pas valide
Duplicate accessnumber found from database,Numéro d'accès en double trouvé dans la base de données
Duplicate accessnumber found from import file.,Numéro d'accès en double trouvé à partir du fichier d'importation.
Total,Le total
AccessNumber Imported Successfully!,AccessNumber importé avec succès!
Records Not Imported:,Enregistrements non importés:
Back to AccessNumber List,Retour à la liste AccessNumber
Speed Dial Number Updated Successfully,Numéro abrégé mis à jour avec succès
Please insert only numeric value!,Veuillez n'insérer qu'une valeur numérique!
Speed Dial Number Removed Successfully,Numéro abrégé supprimé avec succès
Speed Dial Number is Empty,Le numéro abrégé est vide
Sip Device removed successfully!,L'appareil Sip a été supprimé avec succès!
Sip updated successfully!,Sip mis à jour avec succès!
Block Code Removed Sucessfully!,Code de blocage supprimé avec succès!
Your Account Limit has been reached.Please Change Your Prefix.,Votre limite de compte a été atteinte.Veuillez modifier votre préfixe.
Please Enter Proper Account Length.,Veuillez saisir la longueur de compte appropriée.
Bulk customer generate successfully!,Le client en vrac génère avec succès!
Recharge successfully!,Rechargez avec succès!
Post charge applied successfully.,Les frais de publication ont été appliqués avec succès.
Account callerID updated successfully!,L'ID de l'appelant du compte a été mis à jour avec succès!
Account callerID added successfully!,L'ID de l'appelant du compte a été ajouté avec succès!
Reseller updated successfully!,Revendeur mis à jour avec succès!
Reseller added successfully!,Revendeur ajouté avec succès!
Updated successfully!,Mis à jour avec succés!
Added Successfully!,Ajouté avec succès!
Customer batch updated successfully!,Lot client mis à jour avec succès!
Reseller batch updated successfully!,Lot de revendeur mis à jour avec succès!
Customer Removed Successfully!,Client supprimé avec succès!
Reseller Removed Successfully!,Revendeur supprimé avec succès!
Provider Removed Successfully!,Le fournisseur a bien été supprimé!
Admin Removed Successfully!,L'administrateur a bien été supprimé!
Sub Admin Removed Successfully!,Le sous-administrateur a bien été supprimé!
DID Added Successfully.,DID ajouté avec succès.
DID Already Removed Before.,DID déjà supprimé avant.
Account Tax Added Successfully!,Taxe de compte ajoutée avec succès!
Account Tax Removed Successfully!,Taxe de compte supprimée avec succès!
Product Removed Sucessfully.,Produit supprimé avec succès.
Email Resend Successfully!,Renvoyer l'e-mail avec succès!
Email List Updated Successfully!,Liste de diffusion mise à jour avec succès!
Email List Added Successfully!,Liste de diffusion ajoutée avec succès!
Email Removed Successfully!,E-mail supprimé avec succès!
Please Try Again!,Veuillez réessayer!
Email BroadCast Successfully!,Diffusion par e-mail réussie!
No Record Found!,Aucun Enregistrement Trouvé!
Email Address Not Found!,Adresse e-mail introuvable!
Edit Freeswitch SIP Devices,Modifier les périphériques SIP Freeswitch
Create Freeswitch SIP Devices,Créer des périphériques SIP Freeswitch
Gateway Updated Successfully!,Passerelle mise à jour avec succès!
Gateways already exist in system.,Les passerelles existent déjà dans le système.
Gateway name must not have any space.,Le nom de la passerelle ne doit pas contenir d'espace.
Gateway Added Successfully!,La passerelle a été ajoutée avec succès!
Gateway Removed Successfully!,Passerelle supprimée avec succès!
Please enter All profile value!,Veuillez saisir toute la valeur du profil!
SIP Profile name must not have any space!,Le nom du profil SIP ne doit pas contenir d'espace!
Duplicate SIP IP OR Port found it must be unique!,Une adresse IP ou un port SIP en double trouvé doit être unique!
SIP Profile Added Successfully!,Profil SIP ajouté avec succès!
Name must be unique!,Le nom doit être unique!
SIP Profile Updated Successfully!,Profil SIP mis à jour avec succès!
SIP Setting Added Successfully!,Paramètre SIP ajouté avec succès!
SIP Setting Updated Successfully!,Paramètre SIP mis à jour avec succès!
SIP Setting Removed Successfully!,Paramètre SIP supprimé avec succès!
SIP Profile Removed Successfully!,Profil SIP supprimé avec succès!
Host Already Exist in System.,L'hôte existe déjà dans le système.
Freeswitch Server Updated Successfully!,Mise à jour réussie du serveur Freeswitch!
Freeswitch Server Added Successfully!,Le serveur Freeswitch a été ajouté avec succès!
Freeswitch Server Removed Successfully!,Le serveur Freeswitch a été supprimé avec succès!
Invoice updated successfully!,Facture mise à jour avec succès!
Invoice payment done successfully!,Paiement de la facture effectué avec succès!
Account Not Found.,Compte non trouvé.
Invoice payment amount should be higher then the invoice amount.,Le montant du paiement de la facture doit être supérieur au montant de la facture.
The Favicon file size shoud not exceed 1MB!,La taille du fichier Favicon ne doit pas dépasser 1 Mo!
Please upload 250 * 60 size file,Veuillez télécharger un fichier de taille 250 * 60
Logo only allows file types of JPG and JPEG.,Le logo autorise uniquement les types de fichiers JPG et JPEG.
"Favicon only allows file types of ICO, PNG, JPG and JPEG.","Favicon n'autorise que les types de fichiers ICO, PNG, JPG et JPEG."
Please upload 16 * 16 size of favicon.,Veuillez télécharger la taille 16 * 16 du favicon.
Company profile updated sucessfully!,Le profil de l'entreprise a été mis à jour avec succès!
Company profile added sucessfully!,Le profil de l'entreprise a été ajouté avec succès!
Permission Denied.,Permission refusée.
is Deleted Sucessfully!,est supprimé avec succès!
To date should not be greater than current date.,À ce jour ne doit pas être postérieure à la date actuelle.
Invoice generation completed.,Génération de la facture terminée.
No data found,Aucune donnée disponible
Invoices removed successfully,Factures supprimées avec succès
The Prefix field must contain a unique value.,Le champ Préfixe doit contenir une valeur unique.
The IP field must contain a unique value.,Le champ IP doit contenir une valeur unique.
IP Map added successfully!,Carte IP ajoutée avec succès!
IP Map removed successfully!,Carte IP supprimée avec succès!
Localization Added Successfully!,Localisation ajoutée avec succès!
Localization Updated Successfully!,Localisation mise à jour avec succès!
Localization Removed Successfully!,Localisation supprimée avec succès!
Globalization is already exist in this system,La mondialisation existe déjà dans ce système
Dispatcher Updated Successfully!,Dispatcher mis à jour avec succès!
Dispatcher Added Successfully!,Dispatcher ajouté avec succès!
Dispatcher Removed Successfully!,Dispatcher supprimé avec succès!
Code is already in system,Le code est déjà dans le système
Country is already in system,Le pays est déjà dans le système
Ratedeck updated successfully!,Ratedeck a été mis à jour avec succès!
Ratedeck added successfully!,Ratedeck a été ajouté avec succès!
Ratedeck removed successfully!,Ratedeck a été supprimé avec succès!
Duplicate Ratedeck Number found from import file.,Numéro de contrôle en double trouvé à partir du fichier d'importation.
Ratedeck Imported Successfully!,Ratedeck a été importé avec succès!
Ratedeck Import Error,Erreur d'importation de Ratedeck
Back to Ratedeck List,Retour à la liste des contrôles évalués
Origination Rate Imported Successfully!,Taux d'origination importé avec succès!
Origination Rate Updated Successfully!,Taux d'origination mis à jour avec succès!
Origination Rate Added Successfully!,Taux d'origination ajouté avec succès!
Termination Rates Batch Updated Successfully!,Lot de taux de résiliation mis à jour avec succès!
Map CSV to Termination Rates,Mapper CSV aux taux de terminaison
Data Example,Exemple de données
Map to Field,Mapper au champ
PREFIX/DEFAULT VALUE,VALEUR PRÉFIXE / PAR DÉFAUT
ASTPP Field,Champ ASTPP
Created,Créé
Modified,Modifié
You can not create,Vous ne pouvez pas créer
Refill coupon with,Recharger le coupon avec
You can create maximum,Vous pouvez créer un maximum
Refill coupon created successfully!,Le coupon de recharge a été créé avec succès!
Currency Added Successfully!,Monnaie ajoutée avec succès!
Currency Removed Successfully!,La devise a bien été supprimée!
Backup Exported Successfully!,Sauvegarde exportée avec succès!
An error occur when the system tried to backup of the database. Please check yours system settings for the backup section,Une erreur s'est produite lorsque le système a tenté de sauvegarder la base de données. Veuillez vérifier vos paramètres système pour la section de sauvegarde
Database Restore successfully.,La restauration de la base de données a réussi.
File not exists!,Le fichier n'existe pas!
There is a some issue or invalid file format.,Il y a un problème ou un format de fichier non valide.
Database backup deleted successfully.,La sauvegarde de la base de données a bien été supprimée.
Languages updated successfully!,Langues mises à jour avec succès!
Languages removed successfully!,Langues supprimées avec succès!
Languages added successfully!,Langues ajoutées avec succès!
Translation updated successfully!,Traduction mise à jour avec succès!
Translation added successfully!,Traduction ajoutée avec succès!
Update Languages,Mettre à jour les langues
Speed Dial,Numérotation rapide
Payment,Paiement
Method,Méthode
"Once you confirm the invoice, you will no longer able to update it again.","Une fois la facture confirmée, vous ne pourrez plus la mettre à jour à nouveau."
Payment Gateway Permission,Autorisation de la passerelle de paiement
Zip Code,Code postal
Yes,Oui
Back,Dos
Edit Reseller,Modifier le revendeur
Asignar DID a granel,Asignar a fait un granel
DIDs Search,Recherche DID
By Month,Par mois
Create Gateway,Créer une passerelle
Calling Card Language,Langue de la carte d'appel
Last,Durer
Pay Date,Date de paie
Purchase DID,Acheter DID
Caller-ID-A-Form,Formulaire d'identification de l'appelant
Expire Seconds,Expirer les secondes
Termination Date,Date de résiliation
Registration Date,Date d'inscription
Payment By,Paiement par
Product Status,État du produit
Minute,Minute
Hour,Heure
Day,Jour
Month,Mois
Year,An
List,Lister
Edit,Éditer
Not Avaialable any Subscription.,Aucun abonnement disponible.
Not Avaialable any Package for this Country.,Aucun forfait disponible pour ce pays.
You can only transfer fund in same level account.,Vous ne pouvez transférer des fonds que dans un compte de même niveau.
You can not transfer fund in same account.,Vous ne pouvez pas transférer de fonds sur le même compte.
Monthly Fee,Redevance mensuelle
Bulk DID Assign,Attribution groupée de DID
Invoice Start From,Facture à partir de
Edit Gateway,Modifier la passerelle
Number Of Default Rows,Nombre de lignes par défaut
Mobile Dialer,Numéroteur mobile
Trunk Count,Nombre de tronc
Welcome File,Fichier de bienvenue
Local Call Timeout (Sec.),Délai d'appel local (sec.)
Rate check for DID,Contrôle de taux pour DID
DID Localization,Localisation DID
Voicemail Number,Numéro de messagerie vocale
OTP Expire Time(min),Heure d'expiration OTP (min)
Edit Provider,Modifier le fournisseur
Product Summary Reports,Rapports récapitulatifs des produits
Edit Origination Rate,Modifier le taux d'origination
Dialplan Variable,Variable de plan de numérotation
Uninstall,Désinstaller
Call Stat,Appeler Stat
Failed Calls,Appels échoués
Top 10 Countries,Top 10 des pays
By Minutes,Par minutes
By Calls,Par appels
Telephone number is only numeric,Le numéro de téléphone est uniquement numérique
Please enter valid Captcha code,Veuillez saisir un code Captcha valide
Please contact to administrator,Veuillez contacter l'administrateur
Requested email is already exist,L'e-mail demandé existe déjà
Requested number is already exist,Le numéro demandé existe déjà
Please enter correct words!,Veuillez saisir les mots corrects!
THIS IS REQUIRED!,CECI EST NÉCESSAIRE!
Your account has been deleted. Please contact administrator for more information.,Votre compte a été supprimé. Veuillez contacter l'administrateur pour plus d'informations.
Your account is inactive. Please contact administrator for more information.,Votre compte est inactif. Veuillez contacter l'administrateur pour plus d'informations.
Please enter proper Email.,Veuillez saisir une adresse e-mail appropriée.
Please enter proper Username.,Veuillez entrer le nom d'utilisateur approprié.
This Username or Email is not valid.,Ce nom d'utilisateur ou e-mail n'est pas valide.
ASTPP - A Smart TelePhony Platform,ASTPP - Une plateforme Smart TelePhony
Forgot Password,Mot de passe oublié
ASTPP work best with JavaScript enabled,ASTPP fonctionne mieux avec JavaScript activé
Enter Your Password,Tapez votre mot de passe
Confirm Password,Confirmez le mot de passe
The Email field is Required,Le champ Email est obligatoire
The Account Number field is Required,Le champ Numéro de compte est obligatoire
Set Default Language,Définir la langue par défaut
Please Re-login to get Impact of selected language.,Veuillez vous reconnecter pour obtenir l'impact de la langue sélectionnée.
Default Language,Langage par défaut
Signup now!,S'inscrire maintenant!
Forgot Password?,Mot de passe oublié?
Sign in,S'identifier
Username OR Email,Nom d'utilisateur ou email
Username is Required,Nom d'utilisateur est nécessaire
Password is Required,Mot de passe requis
"Please Check Your account is deleted or inactive from admin side, please contact to your administrator","Veuillez vérifier que votre compte est supprimé ou inactif du côté administrateur, veuillez contacter votre administrateur"
Please do not use default or less secure password for your account!! You must change password from,Veuillez ne pas utiliser de mot de passe par défaut ou moins sécurisé pour votre compte !! Vous devez changer le mot de passe de
HERE,ICI
"Login unsuccessful. Please make sure you entered the correct username and password, and that your account is active",Échec de la connexion. Veuillez vous assurer que vous avez entré le nom d'utilisateur et le mot de passe corrects et que votre compte est actif
Please enter Username/email and Password.,Veuillez saisir votre nom d'utilisateur / e-mail et votre mot de passe.
Payment transaction invalid. Please contact Administrator.,Transaction de paiement invalide. Veuillez contacter l'administrateur.
Log In,Connexion
Please Enter Password,Veuillez entrer le mot de passe
"Password must be at least 8 characters and must contain at least one lower case letter, one upper case letter and one digit","Le mot de passe doit comporter au moins 8 caractères et doit contenir au moins une lettre minuscule, une lettre majuscule et un chiffre"
Please Enter Confirm Password,Veuillez saisir le mot de passe
Confirm Password is not match,Confirmer que le mot de passe ne correspond pas
We sent update password link.,Nous avons envoyé un lien de mise à jour du mot de passe.
Please check your Email!,Merci de consulter vos emails!
Login,Connexion
OTP Verification,Vérification OTP
OTP Number is Required,Le numéro OTP est obligatoire
Your account created successfully and account details sent to your registered email address,Votre compte a été créé avec succès et les détails du compte envoyés à votre adresse e-mail enregistrée
Your password change successfully and new password sent to your registered email address,Votre mot de passe a été modifié avec succès et le nouveau mot de passe a été envoyé à votre adresse e-mail enregistrée
OTP Number is Wrong Please try again Or OTP expire Please Resend,Le numéro OTP est incorrect Veuillez réessayer Ou OTP expire Veuillez renvoyer
OTP has been sent on your email or Telephone number,OTP a été envoyé sur votre e-mail ou votre numéro de téléphone
OTP,OTP
Resend OTP,Renvoyer OTP
OTP Sent time Out,Délai d'envoi OTP
Not Get OTP ?,Vous n'obtenez pas OTP?
Note:,Noter:
Please make sure do not refresh the page or don't go back,Veuillez vous assurer de ne pas actualiser la page ou de ne pas revenir en arrière
"Login unsuccessful. Please make sure you entered the correct username and password, and that your account is active.",Échec de la connexion. Veuillez vous assurer que vous avez entré le nom d'utilisateur et le mot de passe corrects et que votre compte est actif.
Your account has been created successfully!,Votre compte a été créé avec succès!
Here is your login information,Voici vos informations de connexion
Link is Expire Please Try Again,"Le lien expire, veuillez réessayer"
"Sorry, we cannot process for singup at this time.","Désolé, nous ne pouvons pas traiter pour le moment de l'inscription."
Please contact administrator for more information,Veuillez contacter l'administrateur pour plus d'informations
Successful!,À succès!
Captcha is required,Captcha est requis
First Name is Required,Le prénom est requis
Telephone is Required,Le téléphone est requis
Email is Required,L'e-mail est obligatoire
Please enter a valid email address,"S'il vous plaît, mettez une adresse email valide"
"Please make sure you entered the correct username and password, and that your account is active.",Veuillez vous assurer que vous avez entré le nom d'utilisateur et le mot de passe corrects et que votre compte est actif.
Company Name,Nom de la compagnie
Enter above Captcha,Entrez au-dessus du captcha
Sign up,S'inscrire
Already Registered !,Déjà enregistré !
January,janvier
February,février
March,Mars
April,avril
May,Mai
June,juin
July,juillet
August,août
September,septembre
October,octobre
November,novembre
December,décembre
Doesn't Contain,Ne contient pas
Greater Than,Plus grand que
Less Than,Moins que
Greater Or Equal Than,Supérieur ou égal à
Less Or Equal Than,Inférieur ou égal à
Set To,Mis à
Increase By,Augmenté de
Decrease By,Diminuer de
Community,Communauté
You must either select a field from your file OR provide a default value for the following fields:,Vous devez soit sélectionner un champ dans votre fichier OU fournir une valeur par défaut pour les champs suivants:
Note : Records with duplicate account number and email will be ignored.,Remarque: les enregistrements avec un numéro de compte et une adresse e-mail en double seront ignorés.
Map CSV to Customers,Mapper CSV aux clients
Account Information,Information sur le compte
Select Account,Sélectionnez un compte
DEFAULT VALUE,VALEUR PAR DÉFAUT
SIP Username,Nom d'utilisateur SIP
sip_username,sip_username
SIP Password,Mot de passe SIP
Same as Password,Identique au mot de passe
Same as Account Number,Identique au numéro de compte
Random,Aléatoire
Import File Data.,Importer des données de fichier.
Process Records,Dossiers de processus
Note : Duplicate accounts with account number / email are ignored.,Remarque: les comptes en double avec numéro de compte / e-mail sont ignorés.
Remove,Supprimer
Number of Account,Numéro de compte
Account Number Length,Longueur du numéro de compte
"DID (CLI Match, If not matched then use random allocated DID)","DID (CLI Match, s'il ne correspond pas, utilisez le DID alloué de manière aléatoire)"
"Caller Id (CLI Match, If not matched then use random allocated Caller Id)","Identifiant de l'appelant (correspondance CLI, s'il ne correspond pas, utilisez l'identifiant de l'appelant alloué de manière aléatoire)"
Use NON-CLI Rate Group (If CLI not match with DID),Utiliser le groupe de taux NON-CLI (si la CLI ne correspond pas à DID)
Use NON-CLI Rate Group (If CLI not match with Caller ID),Utiliser le groupe de taux NON-CLI (si la CLI ne correspond pas à l'ID de l'appelant)
Use NON-CLI Rate Group (If CLI not match with DID & Caller id),Utilisez le groupe de taux NON-CLI (si la CLI ne correspond pas à DID et à l'ID de l'appelant)
Reject Call (If CLI not match with DID),Rejeter l'appel (si la CLI ne correspond pas à DID)
Reject Call (If CLI not match with Caller ID),Rejeter l'appel (si la CLI ne correspond pas à l'ID de l'appelant)
Reject Call (If CLI not match with DID & Caller id),Rejeter l'appel (si la CLI ne correspond pas au DID et à l'identifiant de l'appelant)
--Select--,--Sélectionner--
Test Mail,E-mail test
Reset Password,réinitialiser le mot de passe
AFGHANISTAN,AFGHANISTAN
ALBANIA,ALBANIE
ALGERIA,ALGÉRIE
AMERICAN SAMOA,SAMOA AMÉRICAIN
ANDORRA,ANDORRE
ANGOLA,ANGOLA
ANGUILLA,ANGUILLA
ANTIGUA & BARBUDA,ANTIGUA ET BARBUDA
ARGENTINA,ARGENTINE
ARMENIA,ARMÉNIE
ARUBA,ARUBA
AUSTRALIA,AUSTRALIE
AUSTRIA,L'AUTRICHE
AZERBAIJAN,AZERBAÏDJAN
BAHAMAS,BAHAMAS
BAHRAIN,BAHREÏN
BANGLADESH,BANGLADESH
BARBADOS,BARBADE
BELARUS,BELARUS
BELGIUM,BELGIQUE
BELIZE,BELIZE
BENIN,BÉNIN
BERMUDA,BERMUDES
BHUTAN,BHOUTAN
BOLIVIA,BOLIVIE
BOSNIA AND HERZEGOVINA,BOSNIE HERZÉGOVINE
BOTSWANA,BOTSWANA
BRAZIL,BRÉSIL
BRITISH VIRGIN ISLANDS,ÎLES VIERGES BRITANNIQUES
BRUNEI,BRUNEI
BULGARIA,BULGARIE
BURKINA FASO,BURKINA FASO
BURUNDI,BURUNDI
CAMBODIA,CAMBODGE
CAMEROON,CAMEROUN
CANADA,CANADA
CAPE VERDE,CAP-VERT
CAYMAN ISLANDS,ÎLES CAÏMANS
CENTRAL AFRICAN REPUBLIC,RÉPUBLIQUE CENTRAFRICAINE
CHAD,TCHAD
CHILE,CHILI
CHINA,CHINE
COLOMBIA,COLOMBIE
COMOROS,COMORES
CONGO,CONGO
COSTA RICA,COSTA RICA
CROATIA,CROATIE
CUBA,CUBA
CYPRUS,CHYPRE
CZECH REPUBLIC,RÉPUBLIQUE TCHÈQUE
DEMOCRATIC REPUBLIC,RÉPUBLIQUE DÉMOCRATIQUE
DENMARK,DANEMARK
DJIBOUTI,DJIBOUTI
DOMINICA,DOMINIQUE
DOMINICAN REPUBLIC,RÉPUBLIQUE DOMINICAINE
ECUADOR,EQUATEUR
EGYPT,EGYPTE
EL SALVADOR,LE SALVADOR
EQUATORIAL GUINEA,GUINÉE ÉQUATORIALE
ERITREA,ERYTHREE
ERITREA,ERYTHREE
ETHIOPIA,ETHIOPIE
FAEROE ISLANDS,ÎLES FAEROE
FIJI ISLANDS,ÎLES FIDJI
FINLAND,FINLANDE
FRANCE,FRANCE
FRENCH GUIANA,GUYANE FRANÇAISE
FRENCH POLYNESIA,POLYNÉSIE FRANÇAISE
GABON,GABON
GAMBIA,GAMBIE
GEORGIA,GÉORGIE
GERMANY,ALLEMAGNE
GHANA,GHANA
GIBRALTAR,GIBRALTAR
GREECE,GRÈCE
GRENADA,GRENADE
GUADELOUPE,GUADELOUPE
GUAM,GUAM
GUATEMALA,GUATEMALA
GUINEA,GUINÉE
GUINEA BISSAU,GUINÉE BISSAU
GUYANA,GUYANE
HAITI,HAÏTI
HONDURAS,HONDURAS
HONG KONG,HONG KONG
HUNGARY,HONGRIE
ICELAND,ISLANDE
INDIA,INDE
INDONESIA,INDONÉSIE
IRAN,L'IRAN
IRAQ,IRAK
IRELAND,IRLANDE
ISRAEL,ISRAËL
ITALY,ITALIE
IVORY COAST,CÔTE D'IVOIRE
JAMAICA,JAMAÏQUE
JAPAN,JAPON
JORDAN,JORDAN
KAZAKHSTAN,KAZAKHSTAN
KENYA,KENYA
KOSOVO,KOSOVO
KUWAIT,KOWEIT
KYRGYZSTAN,KYRGYZSTAN
LAOS,LAOS
LATVIA,LETTONIE
LEBANON,LIBAN
LESOTHO,LESOTHO
LIBERIA,LIBÉRIA
LIBYA,LIBYE
LIECHTENSTEIN,LIECHTENSTEIN
LITHUANIA,LITUANIE
LUXEMBOURG,LUXEMBOURG
MACAU,MACAU
MACEDONIA,MACÉDOINE
MADAGASCAR,MADAGASCAR
MALAWI,MALAWI
MALAYSIA,MALAISIE
MALI,MALI
MALTA,MALTE
MARSHALL ISLANDS,ILES MARSHALL
MARTINIQUE,MARTINIQUE
MAURITANIA,MAURITANIE
MAURITIUS,MAURICE
MEXICO,MEXIQUE
MICRONESIA,MICRONÉSIE
MOLDOVA,MOLDAVIE
MONACO,MONACO
MONGOLIA,MONGOLIE
MONTENEGRO,MONTÉNÉGRO
MONTSERRAT,MONTSERRAT
MOROCCO,MAROC
MOZAMBIQUE,MOZAMBIQUE
MYANMAR,MYANMAR
NAMIBIA,NAMIBIE
NEPAL,NÉPAL
NETHERLANDS,PAYS-BAS
NEW CALEDONIA,NOUVELLE CALÉDONIE
NEW ZEALAND,NOUVELLE-ZÉLANDE
NICARAGUA,NICARAGUA
NIGER,NIGER
NIGERIA,NIGERIA
NO. MARIANA ISLANDS,NON. ÎLES MARIANA
NORTH KOREA,CORÉE DU NORD
NORWAY,NORVÈGE
OMAN,OMAN
PAKISTAN,PAKISTAN
PALAU,PALAU
PANAMA,PANAMA
PARAGUAY,PARAGUAY
PERU,PÉROU
PHILIPPINES,PHILIPPINES
POLAND,POLOGNE
PORTUGAL,LE PORTUGAL
PUERTO RICO,PORTO RICO
QATAR,QATAR
REUNION ISLAND,ILE DE LA RÉUNION
ROMANIA,ROUMANIE
RUSSIAN FEDERATION,FÉDÉRATION RUSSE
RWANDA,RWANDA
SAN MARINO,SAINT MARIN
SAUDI ARABIA,ARABIE SAOUDITE
SENEGAL,SÉNÉGAL
SERBIA,SERBIE
SEYCHELLES ISLANDS,ILES SEYCHELLES
SIERRA LEONE,SIERRA LEONE
SINGAPORE,SINGAPOUR
SLOVAKIA,SLOVAQUIE
SLOVENIA,SLOVÉNIE
SOMALIA,SOMALIE
SOUTH AFRICA,AFRIQUE DU SUD
SOUTH KOREA,CORÉE DU SUD
SOUTH SUDAN,SOUDAN DU SUD
SPAIN,ESPAGNE
SRI LANKA,SRI LANKA
ST. KITTS,ST. KITTS
ST. LUCIA,ST. LUCIE
ST. MARTIN,ST. MARTIN
ST. PIERRE & MIQUELON,ST. PIERRE ET MIQUELON
ST. VINCENT,ST. VINCENT
SUDAN,SOUDAN
SURINAME,SURINAME
SWAZILAND,SWAZILAND
SWEDEN,SUÈDE
SWITZERLAND,LA SUISSE
SYRIA,SYRIE
TAIWAN,TAÏWAN
TAJIKISTAN,TAJIKISTAN
TANZANIA,TANZANIE
THAILAND,THAÏLANDE
TRINIDAD & TOBAGO,TRINIDAD ET TOBAGO
TUNISIA,TUNISIE
TURKEY,DINDE
TURKMENISTAN,TURKMÉNISTAN
TURKS & CAICOS ISLANDS,ILES TURKS ET CAICOS
UGANDA,OUGANDA
UKRAINE,UKRAINE
UNITED ARAB EMIRATES,EMIRATS ARABES UNIS
UNITED KINGDOM,ROYAUME-UNI
URUGUAY,URUGUAY
US VIRGIN ISLANDS,ÎLES VIERGES AMÉRICAINES
United States,États Unis
UZBEKISTAN,OUZBÉKISTAN
VENEZUELA,VENEZUELA
VIETNAM,VIETNAM
YEMEN,YÉMEN
ZAMBIA,ZAMBIE
ZIMBABWE,ZIMBABWE
ASCENSION,ASCENSION
COOK ISLANDS,LES ÎLES COOK
EAST TIMOR,TIMOR ORIENTAL
FALKLAND ISLANDS,LES ÎLES FALKLAND
GREENLAND,GROENLAND
KIRIBATI,KIRIBATI
MALDIVES,MALDIVES
NAURU,NAURU
Albanian Lek,Lek albanais
Algerian Dinar,Dinar algérien
Aluminium Ounces,Onces d'aluminium
Argentine Peso,Peso argentin
Aruba Florin,Aruba Florin
Australian Dollar,Dollar australien
Bahamian Dollar,Dollar des Bahamas
Bahraini Dinar,Dinar bahreïni
Bangladesh Taka,Bangladesh Taka
Barbados Dollar,Dollar de la Barbade
Belarus Ruble,Rouble biélorusse
Belize Dollar,Dollar du Belize
Bermuda Dollar,Dollar des Bermudes
Bhutan Ngultrum,Bhoutan Ngultrum
Bolivian Boliviano,Boliviano bolivien
Brazilian Real,Réal brésilien
British Pound,Livre sterling
Brunei Dollar,Dollar de Brunei
Bulgarian Lev,Bulgare lev
Burundi Franc,Franc du Burundi
Cambodia Riel,Cambodge Riel
Canadian Dollar,Dollar canadien
Cayman Islands Dollar,Dollar des îles Caïmans
CFA Franc (BCEAO),Franc CFA (BCEAO)
CFA Franc (BEAC),Franc CFA (BEAC)
Chilean Peso,Peso chilien
Chinese Yuan,Le yuan chinois
Colombian Peso,Peso colombien
Comoros Franc,Franc comorien
Copper Ounces,Onces de cuivre
Costa Rica Colon,Costa Rica Colon
Croatian Kuna,Croate Kuna
Cuban Peso,Peso cubain
Cyprus Pound,Livre chypriote
Czech Koruna,Couronne tchèque
Danish Krone,Couronne danoise
Dijibouti Franc,Franc de Dijibouti
Dominican Peso,Peso dominicain
East Caribbean Dollar,Dollar des Caraïbes orientales
Ecuador Sucre,Equateur Sucre
Egyptian Pound,Livre égyptienne
El Salvador Colon,Salvador Colon
Eritrea Nakfa,Érythrée Nakfa
Estonian Kroon,Couronne estonienne
Ethiopian Birr,Birr éthiopien
Euro,euro
Falkland Islands Pound,Livre des îles Falkland
Gambian Dalasi,Dalasi gambien
Ghanian Cedi,Cédi ghanéen
Gibraltar Pound,Livre de Gibraltar
Gold Ounces,Onces d'or
Guatemala Quetzal,Guatemala Quetzal
Guinea Franc,Franc guinéen
Haiti Gourde,Haïti Gourde
Honduras Lempira,Honduras Lempira
Hong Kong Dollar,Dollar de Hong Kong
Hungarian ForINT,Hongrois ForINT
Iceland Krona,Couronne islandaise
Indian Rupee,Roupie indienne
Indonesian Rupiah,Roupie indonésienne
Iran Rial,Iran Rial
Israeli Shekel,Shekel israélien
Jamaican Dollar,Dollar jamaïcain
Japanese Yen,Yen japonais
Jordanian Dinar,Dinar jordanien
Kazakhstan Tenge,Kazakhstan Tenge
Kenyan Shilling,Shilling kényan
Korean Won,Won coréen
Kuwaiti Dinar,Dinar koweïtien
Lao Kip,Lao Kip
Latvian Lat,Lat letton
Lebanese Pound,Livre libanaise
Lesotho Loti,Lesotho Loti
Libyan Dinar,Dinar libyen
Lithuanian Lita,Lituanienne Lita
Macau Pataca,Pataca de Macao
Macedonian Denar,Denar macédonien
Malagasy Franc,Franc malgache
Malawi Kwacha,Malawi Kwacha
Malaysian Ringgit,cloche malaisienne
Maldives Rufiyaa,Maldives Rufiyaa
